Landmark,RL,AP,SI
TrXFiducials019*,,,
T1L*,-34.862,-60.8804,379.337
T1R*,19.089,-53.2729,386.186
T2L*,-32.8319,-62.98995,358.527
T2R*,21.1191,-55.38245,365.376
T3L*,-30.8018,-65.0995,337.717
T3R*,23.1492,-57.492,344.566
T4L*,-27.5902,-66.1872,313.474
T4R*,23.9978,-60.6234,327.189
T5L*,-23.1461,-62.9478,290.14
T5R*,30.1772,-63.5795,308.139
T6L*,-15.4928,-57.9814,270.691
T6R*,37.8062,-64.8383,286.655
T7L*,-9.61259,-51.931,250.373
T7R*,42.9029,-63.9183,263.472
T8L*,-6.31693,-46.4825,233.547
T8R*,47.6922,-60.481,236.888
T9L*,-3.32839,-41.7893,217.413
T9R*,49.3706,-51.6303,211.36
T10L*,-3.75943,-39.1355,199.533
T10R*,45.2596,-44.9959,185.663
T11L*,-5.94312,-31.5596,175.355
T11R*,39.7724,-33.5727,164.112
T12L*,-7.91055,-25.9818,145.008
T12R*,33.0588,-24.8092,137.039
L1L*,-18.3278,-15.7851,120.333
L1R*,37.8431,-12.101,111.919
L2L*,-28.4042,-14.4064,89.8226
L2R*,40.3096,-6.77247,85.9188
L3L*,-32.20915,-11.052785,61.5673
L3R*,36.50465,-3.418855,57.6635
L4L*,-36.0141,-7.69917,33.312
L4R*,32.6997,-0.06524,29.4082
L5L*,-39.81905,-4.345555,5.0567
L5R*,28.89475,3.288375,1.1529
TrXFiducials020*,,,
T1L*,-56.288672,-70.5641,406.437
T1R*,-0.475924,-59.7194,407.322
T2L*,-55.975986,-72.33685,382.9595
T2R*,-0.163238,-61.49215,383.8445
T3L*,-55.6633,-74.1096,359.482
T3R*,0.149448,-63.2649,360.367
T4L*,-52.6982,-75.4194,329.406
T4R*,-2.19028,-65.5006,343.488
T5L*,-51.0725,-71.2431,308.426
T5R*,2.48714,-67.8057,322.111
T6L*,-44.5812,-65.0335,283.699
T6R*,9.34365,-70.0355,299.157
T7L*,-38.6579,-58.0574,264.396
T7R*,11.7653,-70.8559,270.262
T8L*,-38.3862,-52.0783,248.872
T8R*,11.4884,-67.1911,242.793
T9L*,-40.8958,-48.5636,231.952
T9R*,7.4895,-61.1273,212.593
T10L*,-45.5209,-46.8462,215.99
T10R*,-0.547553,-54.0227,190.356
T11L*,-53.2361,-45.1183,187.467
T11R*,-8.65482,-42.2431,167.959
T12L*,-61.1647,-40.8379,148.89
T12R*,-22.0458,-37.9245,143.103
L1L*,-77.4442,-33.0258,118.766
L1R*,-11.7148,-24.3316,117.293
L2L*,-79.9137,-23.406,85.613
L2R*,-10.9131,-20.5324,87.1222
