Landmark,RL,AP,SI
MaxAngle:,169.296897608,TrXFiducials022~,
T4L~,-30.8315207353,-27.0669189639,-41.8111273633
T4R~,28.6807238805,-25.5436592747,-35.3084753508
T5L~,-29.2033772493,-31.895467178,-60.9208976668
T5R~,28.7996818058,-38.0007350181,-60.5667363018
T6L~,-30.8111147204,-51.6859800808,-82.7356838161
T6R~,30.8489228477,-44.2225415161,-79.4110398717
T7L~,-32.4989220315,-54.7877007135,-108.360807826
T8L~,-27.60326182,-63.9765572164,-140.294183972
T8R~,36.907778744,-60.574655612,-135.267416369
T9L~,-34.072161425,-62.9104580106,-163.021984631
T9R~,32.8138091625,-66.5254691585,-169.86746528
T10L~,-38.1376605383,-72.0181510229,-191.476708064
T10R~,26.0167587879,-72.7185223816,-199.269073661
T11L~,-33.8640173833,-64.9945522305,-220.778314323
T11R~,19.6658731504,-62.3247200915,-228.754628519
T12L~,-30.9607738367,-53.1860695439,-249.096169383
T12R~,6.03705574392,-48.6772294842,-257.142556001
L1L~,-35.6175238517,-43.4051212628,-285.708309102
L1R~,9.70293566443,-34.8310317202,-289.725075857
L2L~,-49.1041876503,-33.9530904076,-310.766343571
L2R~,11.1514829241,-23.8272605643,-315.839278346
L3L~,-58.3413922668,-28.1181887599,-346.315938191
MaxAngle:,176.52710232,TrXFiducials024~,
T3L~,-32.5892893845,-65.8081970807,-25.0609423867
T3R~,17.4816022725,-58.5545812979,-12.7706740073
T4L~,-35.4965082697,-65.6210271477,-38.6345407784
T4R~,20.5655859572,-64.6075080779,-31.3146717643
T5L~,-25.2617745129,-73.0436421323,-63.0736330918
T5R~,19.7812828443,-65.7721684697,-58.4742301938
T6R~,23.748067874,-69.8984860875,-76.3186122886
T7L~,-24.6254085408,-78.362347402,-97.3841180387
T7R~,21.4168158173,-83.6224670648,-102.205247911
T8L~,-30.7229096376,-84.2377020196,-127.805278523
T8R~,20.5627936992,-75.8198944253,-130.39882843
T9L~,-30.7150540992,-74.5219602229,-147.894957218
T9R~,18.5139398732,-75.1760040355,-154.956598048
T10L~,-32.8053870927,-77.048114078,-170.90534
T10R~,8.58525156758,-81.2631357699,-172.852122023
T11L~,-35.5006536897,-67.6192368038,-199.716286642
T11R~,5.87032372852,-65.6354985835,-196.901220787
T12L~,-30.617201806,-53.227178296,-220.753526488
T12R~,-5.32204263947,-55.3562913044,-226.005449515
L1L~,-45.0911760579,-43.7392878152,-249.126674453
L2L~,-51.8003887064,-36.4291496075,-265.897910402
L2R~,7.7927473968,-31.7149673373,-279.692812151
MaxAngle:,151.190772128,TrXFiducials015~,
T8L~,-36.1607469209,-56.6702098784,219.063388426
T8R~,15.5717840378,-53.2342770611,220.241044105
T9L~,-30.7486926787,-51.0817081926,198.330973353
T9R~,11.5687875287,-54.2042297494,190.039928229
T10L~,-35.1397431383,-53.3938021628,183.519664763
T10R~,7.23728583732,-38.5949821853,170.795408445
T11L~,-40.5229426362,-40.2762567771,160.165076675
T11R~,1.55350988315,-35.7408666001,146.438191589
T12L~,-43.4887600207,-46.1830683172,128.766973331
L1L~,-59.0038331055,-47.4446582396,97.0479063437
L1R~,-4.81577740336,-15.4364902365,96.8424489347
L2L~,-53.482373412,-33.6215261879,68.6163128095
L2R~,5.92951742169,-16.5786781984,72.7885072473
MaxAngle:,159.720609712,TrXFiducials016~,
T2R~,46.6683921608,-29.0242327925,354.004102979
T3L~,-5.35008216973,-28.3500421363,312.979831247
T3R~,52.3877279899,-26.5546590761,329.11375725
T4L~,1.43055029556,-23.2730926177,298.085856959
T4R~,59.7481637649,-29.5899772144,307.498893236
T5L~,4.91874555077,-13.3910429451,269.965374342
T5R~,65.0010828434,-27.4633199959,297.729726231
T6L~,9.55219688264,-17.2582164755,252.470917979
T6R~,73.4511202993,-31.3124367773,270.500769872
T7L~,14.1764360481,-7.09759272851,237.469731415
T7R~,76.2690690937,-24.5132477868,245.551108295
T8L~,21.5908673806,-6.92213555821,217.165188512
T8R~,80.7157196842,-24.1894963459,218.136107294
T9L~,22.3630077327,-0.896136654509,193.133166616
T9R~,77.7166908506,-22.6335888428,188.102189702
T10L~,24.5723092107,4.27441529335,179.850617436
T10R~,71.9011763647,-11.8578536475,169.853783848
T11R~,65.2980506043,-0.656412295724,146.381003892
T12L~,21.1161419527,6.36045997103,127.589771409
T12R~,54.3627240382,2.70633289415,117.700753069
L1L~,4.395309403,20.2155093511,103.701685354
L1R~,61.4672407676,16.7169715665,89.9653286836
L2L~,-17.7652583554,18.9156768333,80.9849382211
L3L~,-26.9659682519,24.5202699521,54.7765463665
L3R~,66.7494503294,17.3504332696,38.8098709243
L4L~,-17.2621947738,20.7150414776,15.8462925992
L4R~,61.5517912797,29.0083381459,7.28138053735
MaxAngle:,188.312225654,TrXFiducials019~,
T3L~,-30.4452738586,-63.6580667418,338.216827318
T3R~,26.4486186465,-59.2118260122,347.497060846
T4L~,-30.5824092057,-66.5388302653,311.596000812
T4R~,20.8490585687,-63.997343546,328.464760842
T5L~,-26.2918073085,-67.1130185343,287.135855353
T5R~,33.5088578797,-59.4254377866,306.452423088
T6L~,-17.4155572937,-56.5797585336,271.320864684
T6R~,41.6828631761,-67.3926127099,286.844061497
T7L~,-5.90891717357,-50.4514656735,253.695998717
T7R~,41.2875067045,-55.8668145262,263.169423968
T8L~,-4.94300980635,-43.6940886605,230.108691018
T9L~,1.06577721868,-42.792733297,215.790155422
T9R~,47.250516483,-50.6473804487,216.949106967
T10L~,-2.80197708752,-36.8185594696,200.896090945
T10R~,47.2209772363,-45.8866752957,182.447456291
T11L~,-2.71722980837,-28.2102015249,173.21988012
T11R~,39.8659050601,-35.0809182951,155.702612385
T12L~,-7.15133901858,-27.8833349456,147.542022857
T12R~,36.7270492428,-26.876798999,140.856224956
L1L~,-16.9254288564,-14.5375096724,123.217988237
L2L~,-25.8070365382,-14.5005817682,92.0255767952
L2R~,38.6397233808,-3.6068387406,84.4381459253
MaxAngle:,183.873620206,TrXFiducials020~,
T3R~,-0.109498964352,-61.1649707856,358.294041471
T4L~,-50.3726636567,-70.4468989415,327.677865772
T4R~,-5.3085033774,-66.1206058479,338.115050026
T5L~,-53.925705019,-63.6800175626,308.64820462
T5R~,6.81298919283,-68.8252910566,325.869529007
T6L~,-40.5262879027,-65.9554997032,278.841738132
T6R~,5.91748579745,-68.6562416482,302.967839459
T7L~,-38.4957979418,-58.2157729979,265.781684273
T7R~,11.0026721046,-71.3257076613,274.363716765
T8L~,-41.6266587656,-55.3592627883,248.019371762
T8R~,9.07743898998,-65.6891599629,251.765895538
T9L~,-36.0157856215,-45.4966006964,231.375518563
T9R~,6.87451474654,-61.5173508094,213.260029321
T10L~,-43.8259755267,-39.9030764463,213.058265563
T10R~,2.27354035136,-50.8441352215,190.713214127
T11L~,-52.4619244553,-43.7282086925,186.897221835
T11R~,-8.17835499263,-43.2791365498,173.61056089
T12R~,-20.1731817873,-39.423218315,145.249711482
L1L~,-73.6456506829,-38.6379794824,122.341385824
L1R~,-13.7722965268,-24.902790053,114.219346158
L2L~,-83.6345733932,-20.2969174661,83.634384635
L2R~,-11.6430864969,-20.1686303949,88.7968557514
L3L~,-88.1796196875,-15.6121250628,48.159329557
L3R~,-0.870537510155,-13.0660992514,53.7846435199
EOF,,,
