Landmark,RL,AP,SI
Max angle:,34.4507720622,TrXFiducials013#,
T1L*@#,-0.183232,0.0990399,0.853205
T1R*@#,0.131249,0.139005,0.890041
T2L*@#,-0.145197,0.026494,0.769768
T2R*@#,0.133434,0.0612825,0.820683
T3L*@#,-0.110795,-0.0385413,0.673511
T3R*@#,0.145166,-0.0058363,0.739979
T4L*@#,-0.0715182,-0.0781184,0.569452
T4R*@#,0.177113,-0.0782518,0.653158
T5L*@#,-0.0433312,-0.0944462,0.47805
T5R*@#,0.209688,-0.146067,0.538975
T6L*@#,-0.0196001,-0.106736,0.387821
T6R*@#,0.22917,-0.188348,0.400227
T7L*@#,-0.0264619,-0.124301,0.29935
T7R*@#,0.224883,-0.194799,0.244
T8L*@#,-0.0472818,-0.1302,0.179214
T8R*@#,0.196466,-0.164168,0.103917
T9L*@#,-0.0766766,-0.116491,0.0458482
T9R*@#,0.171479,-0.114981,-0.015728
T10L*@#,-0.0979968,-0.0861326,-0.067986
T10R*@#,0.137543,-0.0648162,-0.125527
T11L*@#,-0.115495,-0.0353357,-0.196337
T11R*@#,0.107824,0.00290521,-0.226946
T12L*@#,-0.122332,0.00500222,-0.335779
T12R*@#,0.0727366,0.0403496,-0.348218
L1L*@#,-0.143294,0.0438931,-0.466134
L1R*@#,0.0517741,0.0792407,-0.478577
L2L*@#,-0.164256,0.0827847,-0.596493
L2R*@#,0.0308124,0.118132,-0.608932
L3L*@#,-0.185218,0.121676,-0.726848
L3R*@#,0.00984988,0.157023,-0.739286
L4L*@#,-0.206181,0.160567,-0.857207
L4R*@#,-0.0111121,0.195914,-0.869646
L5L*@#,-0.227143,0.199458,-0.987561
L5R*@#,-0.0320741,0.234805,-1.0
Max angle:,45.6777470378,TrXFiducials014#,
T1L*@#,-0.0978044,0.0618711,0.975936
T1R*@#,0.173903,0.0822032,0.97649
T2L*@#,-0.0999203,0.0208712,0.857308
T2R*@#,0.171787,0.0412033,0.857862
T3L*@#,-0.102036,-0.0201286,0.738681
T3R*@#,0.169671,0.000203481,0.739239
T4L*@#,-0.104152,-0.0611283,0.620058
T4R*@#,0.167556,-0.0407963,0.620612
T5L*@#,-0.104147,-0.0982067,0.507557
T5R*@#,0.163319,-0.0857173,0.495862
T6L*@#,-0.0999923,-0.130835,0.38899
T6R*@#,0.157952,-0.115617,0.371278
T7L*@#,-0.0975846,-0.144442,0.262435
T7R*@#,0.152167,-0.125788,0.244925
T8L*@#,-0.1001,-0.1462,0.126892
T8R*@#,0.14471,-0.121556,0.128068
T9L*@#,-0.116886,-0.13228,0.00240369
T9R*@#,0.136085,-0.115008,-0.00105594
T10L*@#,-0.112647,-0.108869,-0.113616
T10R*@#,0.121548,-0.0908297,-0.114052
T11L*@#,-0.117309,-0.0545973,-0.237374
T11R*@#,0.105983,-0.0463933,-0.250158
T12L*@#,-0.108108,-0.00260116,-0.364569
T12R*@#,0.0768898,0.00667677,-0.379138
L1L*@#,-0.174932,0.0634856,-0.486511
L1R*@#,0.12766,0.0684124,-0.508291
L2L*@#,-0.204896,0.10436,-0.614954
L2R*@#,0.133171,0.104386,-0.627909
L3L*@#,-0.217122,0.142784,-0.738983
L3R*@#,0.120944,0.14281,-0.751938
L4L*@#,-0.229349,0.181208,-0.863011
L4R*@#,0.108718,0.181234,-0.875971
L5L*@#,-0.241576,0.219632,-0.98704
L5R*@#,0.0964908,0.219658,-1.0
Max angle:,10.7935791829,TrXFiducials015#,
T1L*@#,-0.0574996,-0.130007,0.945736
T1R*@#,0.182926,-0.131683,0.921679
T2L*@#,-0.063496,-0.117281,0.830198
T2R*@#,0.17693,-0.118957,0.806141
T3L*@#,-0.0694924,-0.104555,0.71466
T3R*@#,0.170934,-0.106231,0.690603
T4L*@#,-0.0754888,-0.0918288,0.599122
T4R*@#,0.164937,-0.0935047,0.575064
T5L*@#,-0.0814852,-0.0791028,0.483586
T5R*@#,0.158941,-0.0807787,0.459528
T6L*@#,-0.0874815,-0.0663768,0.368048
T6R*@#,0.152944,-0.0680527,0.34399
T7L*@#,-0.0934779,-0.0536508,0.25251
T7R*@#,0.146948,-0.0553267,0.228452
T8L*@#,-0.0994743,-0.0409248,0.136972
T8R*@#,0.140952,-0.0426007,0.112914
T9L*@#,-0.0977828,-0.0365094,0.0350702
T9R*@#,0.127267,-0.0215642,-0.0162605
T10L*@#,-0.112047,-0.0208694,-0.0564249
T10R*@#,0.0934575,0.0197221,-0.129728
T11L*@#,-0.123488,-0.00556035,-0.179368
T11R*@#,0.0637377,0.0655939,-0.242942
T12L*@#,-0.129181,0.00826963,-0.311919
T12R*@#,0.0384258,0.0819368,-0.345838
L1L*@#,-0.198901,0.011984,-0.467978
L1R*@#,0.0431444,0.14795,-0.469593
L2L*@#,-0.203129,0.0438694,-0.619906
L2R*@#,0.0724501,0.165082,-0.57106
L3L*@#,-0.19059,0.0683777,-0.746605
L3R*@#,0.0849891,0.18959,-0.697755
L4L*@#,-0.178051,0.0928865,-0.873305
L4R*@#,0.097528,0.214099,-0.824454
L5L*@#,-0.165512,0.117395,-1.0
L5R*@#,0.110067,0.238608,-0.951154
Max angle:,16.9739161724,TrXFiducials016#,
T1L*@#,-0.234115,-0.107402,0.845625
T1R*@#,0.0579979,-0.110113,0.901797
T2L*@#,-0.211628,-0.106411,0.731208
T2R*@#,0.0804855,-0.109122,0.78738
T3L*@#,-0.170859,-0.107381,0.602367
T3R*@#,0.0846915,-0.106169,0.687393
T4L*@#,-0.149142,-0.0940518,0.506063
T4R*@#,0.109569,-0.104055,0.590322
T5L*@#,-0.112163,-0.0698661,0.40685
T5R*@#,0.150342,-0.103848,0.495299
T6L*@#,-0.0942758,-0.0527525,0.323402
T6R*@#,0.192736,-0.10164,0.395668
T7L*@#,-0.0723072,-0.0219075,0.235211
T7R*@#,0.218288,-0.102733,0.280283
T8L*@#,-0.0589185,0.00196507,0.143248
T8R*@#,0.223228,-0.0875524,0.158224
T9L*@#,-0.0429236,0.00138382,0.0427716
T9R*@#,0.204365,-0.0706614,0.0123446
T10L*@#,-0.0377875,0.0380637,-0.0343729
T10R*@#,0.190177,-0.0383917,-0.0948625
T11L*@#,-0.0395916,0.0555414,-0.155438
T11R*@#,0.1545,0.0133784,-0.20795
T12L*@#,-0.0704676,0.0661029,-0.300575
T12R*@#,0.107402,0.0474186,-0.338514
L1L*@#,-0.14484,0.127985,-0.411111
L1R*@#,0.156565,0.0943943,-0.465621
L2L*@#,-0.228043,0.124286,-0.523457
L2R*@#,0.155316,0.110577,-0.589405
L3L*@#,-0.273833,0.136067,-0.660496
L3R*@#,0.152579,0.13226,-0.715066
L4L*@#,-0.233335,0.131267,-0.824307
L4R*@#,0.0938019,0.139718,-0.850417
L5L*@#,-0.242476,0.132597,-0.973885
L5R*@#,0.0846618,0.141047,-1.0
Max angle:,27.0743980039,TrXFiducials019#,
T1L*@#,-0.204269,-0.107998,0.85152
T1R*@#,0.0598656,-0.0707529,0.885051
T2L*@#,-0.19433,-0.118326,0.749638
T2R*@#,0.0698046,-0.0810806,0.783169
T3L*@#,-0.184391,-0.128654,0.647756
T3R*@#,0.0797436,-0.0914088,0.681287
T4L*@#,-0.168667,-0.133979,0.529066
T4R*@#,0.0838981,-0.10674,0.596213
T5L*@#,-0.14691,-0.118119,0.414826
T5R*@#,0.114151,-0.121212,0.502947
T6L*@#,-0.109441,-0.0938048,0.319608
T6R*@#,0.151502,-0.127375,0.397765
T7L*@#,-0.0806522,-0.0641832,0.220135
T7R*@#,0.176454,-0.122871,0.284265
T8L*@#,-0.0645171,-0.0375084,0.137758
T8R*@#,0.199902,-0.106042,0.154114
T9L*@#,-0.0498859,-0.0145314,0.0587684
T9R*@#,0.208119,-0.062711,0.0291338
T10L*@#,-0.051996,-0.00153885,-0.028769
T10R*@#,0.187992,-0.0302303,-0.0966738
T11L*@#,-0.062687,0.0355514,-0.14714
T11R*@#,0.161128,0.0256956,-0.202184
T12L*@#,-0.0723191,0.0628594,-0.295713
T12R*@#,0.128259,0.0686002,-0.334728
L1L*@#,-0.12332,0.112781,-0.416518
L1R*@#,0.151682,0.130817,-0.457711
L2L*@#,-0.172652,0.11953,-0.565893
L2R*@#,0.163758,0.156905,-0.585001
L3L*@#,-0.191281,0.135949,-0.704224
L3R*@#,0.14513,0.173323,-0.723337
L4L*@#,-0.209909,0.152368,-0.842555
L4R*@#,0.126501,0.189742,-0.861669
L5L*@#,-0.228537,0.168786,-0.980892
L5R*@#,0.107873,0.206161,-1.0
Max angle:,23.2257291403,TrXFiducials020#,
T1L*@#,-0.11843,-0.103843,0.843222
T1R*@#,0.12478,-0.0565861,0.847079
T2L*@#,-0.117067,-0.111568,0.740919
T2R*@#,0.126143,-0.0643108,0.744775
T3L*@#,-0.115705,-0.119293,0.638611
T3R*@#,0.127505,-0.072036,0.642467
T4L*@#,-0.102784,-0.125,0.507552
T4R*@#,0.117309,-0.0817783,0.568915
T5L*@#,-0.0956999,-0.106802,0.416131
T5R*@#,0.137692,-0.091823,0.475763
T6L*@#,-0.0674134,-0.0797428,0.308381
T6R*@#,0.167569,-0.10154,0.37574
T7L*@#,-0.0416021,-0.0493437,0.224266
T7R*@#,0.178122,-0.105115,0.249827
T8L*@#,-0.0404181,-0.0232894,0.156618
T8R*@#,0.176916,-0.0891448,0.130128
T9L*@#,-0.0513539,-0.00797371,0.0828877
T9R*@#,0.15949,-0.0627211,-0.00147092
T10L*@#,-0.0715083,-0.000489947,0.0133319
T10R*@#,0.124468,-0.0317623,-0.0983711
T11L*@#,-0.105128,0.00703953,-0.11096
T11R*@#,0.0891395,0.0195685,-0.195968
T12L*@#,-0.139678,0.0256918,-0.279063
T12R*@#,0.0307869,0.0383873,-0.304281
L1L*@#,-0.210617,0.059734,-0.410332
L1R*@#,0.0758053,0.0976199,-0.416751
L2L*@#,-0.221378,0.101653,-0.554801
L2R*@#,0.0792988,0.114175,-0.548221
L3L*@#,-0.238444,0.13529,-0.710442
L3R*@#,0.131364,0.142674,-0.682139
L4L*@#,-0.220944,0.166357,-0.855219
L4R*@#,0.148864,0.173742,-0.826916
L5L*@#,-0.203444,0.197425,-1.0
L5R*@#,0.166364,0.204809,-0.971697
Max angle:,45.7283699047,TrXFiducials022#,
T1L*@#,-0.120289,0.124648,0.847892
T1R*@#,0.130431,0.136312,0.87017
T2L*@#,-0.114508,0.0901169,0.752745
T2R*@#,0.136212,0.101781,0.775023
T3L*@#,-0.108727,0.0555855,0.657594
T3R*@#,0.141993,0.0672499,0.679876
T4L*@#,-0.102946,0.0210546,0.562447
T4R*@#,0.147774,0.0327189,0.584725
T5L*@#,-0.101136,-0.0123784,0.472345
T5R*@#,0.157526,-0.0029103,0.484534
T6L*@#,-0.101157,-0.0428928,0.381026
T6R*@#,0.168989,-0.0348013,0.3891
T7L*@#,-0.0907565,-0.0812992,0.279462
T7R*@#,0.174461,-0.0722598,0.281246
T8L*@#,-0.0914189,-0.117267,0.163247
T8R*@#,0.17191,-0.10481,0.158032
T9L*@#,-0.102473,-0.134128,0.0513782
T9R*@#,0.158722,-0.119705,0.0323481
T10L*@#,-0.103794,-0.133869,-0.0691907
T10R*@#,0.142611,-0.119725,-0.0801572
T11L*@#,-0.112041,-0.114954,-0.197553
T11R*@#,0.11881,-0.0948249,-0.211098
T12L*@#,-0.10074,-0.0735698,-0.326872
T12R*@#,0.080677,-0.0475356,-0.345029
L1L*@#,-0.140895,-0.0138938,-0.45818
L1R*@#,0.0901784,0.0210538,-0.468169
L2L*@#,-0.17413,0.0208292,-0.569392
L2R*@#,0.093018,0.0625464,-0.578945
L3L*@#,-0.212598,0.0472024,-0.706209
L3R*@#,0.113992,0.0923068,-0.721064
L4L*@#,-0.221345,0.0752695,-0.845675
L4R*@#,0.105246,0.120373,-0.86053
L5L*@#,-0.230092,0.103336,-0.985145
L5R*@#,0.0964988,0.14844,-1.0
Max angle:,36.8791660121,TrXFiducials024#,
T1L*@#,-0.154394,0.0506189,0.866725
T1R*@#,0.103505,0.0696166,0.9037
T2L*@#,-0.133167,0.0129207,0.77232
T2R*@#,0.124732,0.0319183,0.809295
T3L*@#,-0.11194,-0.0247771,0.677915
T3R*@#,0.145959,-0.00577952,0.71489
T4L*@#,-0.0835832,-0.0589068,0.592556
T4R*@#,0.160056,-0.0470459,0.611444
T5L*@#,-0.0802951,-0.0882397,0.499251
T5R*@#,0.17156,-0.082603,0.502103
T6L*@#,-0.0780009,-0.114771,0.400238
T6R*@#,0.185794,-0.111166,0.391715
T7L*@#,-0.0770357,-0.130314,0.275884
T7R*@#,0.169929,-0.129729,0.258393
T8L*@#,-0.093411,-0.130338,0.153334
T8R*@#,0.166838,-0.119981,0.123089
T9L*@#,-0.0996825,-0.110361,0.0320895
T9R*@#,0.14795,-0.103301,0.0025372
T10L*@#,-0.103326,-0.0876901,-0.0892378
T10R*@#,0.124484,-0.0841657,-0.0993882
T11L*@#,-0.106442,-0.0487693,-0.196526
T11R*@#,0.102151,-0.0513705,-0.221322
T12L*@#,-0.0910624,-0.00588893,-0.332637
T12R*@#,0.0744057,-0.00225103,-0.358295
L1L*@#,-0.160095,0.0490517,-0.463103
L1R*@#,0.118233,0.07391,-0.496646
L2L*@#,-0.189135,0.0808375,-0.58258
L2R*@#,0.121701,0.117881,-0.6263
L3L*@#,-0.201921,0.118716,-0.707148
L3R*@#,0.108916,0.155759,-0.750868
L4L*@#,-0.214707,0.156594,-0.831712
L4R*@#,0.0961294,0.193638,-0.875431
L5L*@#,-0.227493,0.194473,-0.95628
L5R*@#,0.0833433,0.231516,-1.0
Max angle:,25.6327234864,TrXFiducials027#,
T1L*@#,0.113558,0.308192,0.775001
T1R*@#,0.429371,0.195912,0.77194
T2L*@#,0.0998538,0.251063,0.694609
T2R*@#,0.401186,0.143123,0.699616
T3L*@#,0.0798953,0.202286,0.609825
T3R*@#,0.368212,0.0869768,0.598622
T4L*@#,0.0560916,0.156295,0.534245
T4R*@#,0.334542,0.0311786,0.502042
T5L*@#,0.0320757,0.113586,0.455784
T5R*@#,0.298379,-0.00967254,0.408465
T6L*@#,0.00337326,0.0723389,0.372054
T6R*@#,0.263493,-0.040623,0.318617
T7L*@#,-0.0377833,0.0483097,0.285671
T7R*@#,0.22623,-0.072351,0.216458
T8L*@#,-0.0727103,0.0173948,0.197417
T8R*@#,0.174589,-0.0974428,0.112945
T9L*@#,-0.112572,-0.0120258,0.102936
T9R*@#,0.123149,-0.117446,0.0246156
T10L*@#,-0.154294,-0.0323741,0.00865708
T10R*@#,0.0601473,-0.132893,-0.0764698
T11L*@#,-0.183694,-0.0433165,-0.0909814
T11R*@#,0.0129136,-0.130955,-0.167968
T12L*@#,-0.238394,-0.0451822,-0.238562
T12R*@#,-0.0622679,-0.124836,-0.289274
L1L*@#,-0.314065,-0.0589839,-0.355971
L1R*@#,-0.0451614,-0.130886,-0.431151
L2L*@#,-0.366371,-0.0633414,-0.488917
L2R*@#,-0.0630395,-0.1362,-0.559717
L3L*@#,-0.425083,-0.0550497,-0.668695
L3R*@#,-0.0560559,-0.142249,-0.695745
L4L*@#,-0.42097,-0.0244339,-0.83212
L4R*@#,-0.0647094,-0.0841813,-0.83121
L5L*@#,-0.426162,-0.0106888,-1.0
L5R*@#,-0.0337235,-0.0615242,-0.962747
Max angle:,75.5884313352,TrXFiducials028#,
T1L*@#,-0.163336,0.00341582,0.767607
T1R*@#,0.0723531,0.00159587,0.776687
T2L*@#,-0.161886,-0.00650069,0.684385
T2R*@#,0.0738029,-0.00832065,0.693466
T3L*@#,-0.160437,-0.0164172,0.601168
T3R*@#,0.0752522,-0.0182372,0.610248
T4L*@#,-0.152745,-0.0248809,0.498151
T4R*@#,0.0704595,-0.0296065,0.546826
T5L*@#,-0.138089,-0.0209656,0.398418
T5R*@#,0.0846908,-0.0477197,0.452173
T6L*@#,-0.116455,-0.0075599,0.30223
T6R*@#,0.104073,-0.0546063,0.355176
T7L*@#,-0.101529,0.00644,0.223237
T7R*@#,0.134149,-0.0544973,0.253206
T8L*@#,-0.096982,0.0268339,0.150519
