Landmark,RL,AP,SI
TrXFiducials022,,,
T4L,-31.6181,-31.9675,-40.0915
T4R,28.6701,-29.1627,-34.734
T5L,-31.1828,-40.0068,-61.7576
T5R,31.015,-37.7301,-58.8265
T6L,-31.188,-47.3443,-83.7158
T6R,33.7715,-45.3986,-81.7744
T7L,-28.687,-56.5795,-108.138
T7R,35.0872,-54.4059,-107.709
T8L,-28.8463,-65.2283,-136.083
T8R,34.4738,-62.2328,-137.337
T9L,-31.5043,-69.2828,-162.983
T9R,31.3026,-65.8146,-167.559
T10L,-31.8219,-69.2205,-191.975
T10R,27.4285,-65.8194,-194.612
T11L,-33.8051,-64.6722,-222.841
T11R,21.7054,-59.8319,-226.098
T12L,-31.0876,-54.7209,-253.937
T12R,12.5359,-48.4607,-258.303
L1L,-40.7433,-40.3712,-285.511
L1R,14.8206,-31.9677,-287.913
L2L,-48.7351,-32.0217,-312.253
L2R,15.5034,-21.9904,-314.55
L3L,-57.9851,-25.68,-345.152
L3R,20.5469,-14.8342,-348.724
TrXFiducials024,,,
T3L,-34.9621,-59.8082,-22.36
T3R,15.2436,-56.1099,-15.1615
T4L,-29.4418,-66.4523,-38.9772
T4R,17.9879,-64.1433,-35.3001
T5L,-28.8017,-72.1626,-57.1407
T5R,20.2275,-71.0653,-56.5856
T6L,-28.3551,-77.3275,-76.4157
T6R,22.9984,-76.6258,-78.0749
T7L,-28.1672,-80.3532,-100.624
T7R,19.91,-80.2394,-104.029
T8L,-31.355,-80.3579,-124.481
T8R,19.3081,-78.3417,-130.369
T9L,-32.5759,-76.469,-148.084
T9R,15.6313,-75.0946,-153.837
T10L,-33.2852,-72.0556,-171.703
T10R,11.0631,-71.3695,-173.679
T11L,-33.8917,-64.4788,-192.589
T11R,6.71549,-64.9852,-197.416
T12L,-30.8978,-56.1312,-219.086
T12R,1.3142,-55.423,-224.081
L1L,-44.3365,-45.4358,-244.484
L1R,9.84612,-40.5966,-251.014
L2L,-49.9898,-39.248,-267.743
L2R,10.5213,-32.0367,-276.254
TrXFiducials027,,,
T1L,-20.1211,62.4998,77.991
T1R,39.9245,41.152,77.4088
T2L,-22.7267,51.638,62.7054
T2R,34.5655,31.1152,63.6574
T3L,-26.5214,42.3639,46.5858
T3R,28.2963,20.4402,44.456
T4L,-31.0472,33.6196,32.2156
T4R,21.8946,9.83126,26.093
T5L,-35.6133,25.4994,17.298
T5R,15.0189,2.06424,8.30115
T6L,-41.0705,17.6571,1.3783
T6R,8.38616,-3.82037,-8.78157
T7L,-48.8956,13.0884,-15.0457
T7R,1.30138,-9.85279,-28.2052
T8L,-55.5363,7.21055,-31.8255
T8R,-8.51721,-14.6235,-47.886
T9L,-63.1152,1.61681,-49.789
T9R,-18.2976,-18.4268,-64.6801
T10L,-71.0478,-2.25201,-67.7143
T10R,-30.2761,-21.3636,-83.8995
T11L,-76.6377,-4.33248,-86.6586
T11R,-39.2566,-20.9952,-101.296
T12L,-87.0377,-4.68722,-114.718
T12R,-53.5509,-19.8317,-124.36
L1L,-101.425,-7.31135,-137.041
L1R,-50.2984,-20.9821,-151.335
L2L,-111.37,-8.13979,-162.318
L2R,-53.6976,-21.9925,-175.779
L3L,-122.533,-6.56329,-196.499
L3R,-52.3698,-23.1425,-201.642
L4L,-121.751,-0.742324,-227.571
L4R,-54.0151,-12.1021,-227.398
L5L,-122.738,1.87101,-259.49
L5R,-48.1237,-7.79429,-252.407
TrXFiducials028,,,
T3L,-56.124,-57.9337,353.268
T3R,5.31214,-58.4081,355.635
T4L,-54.1189,-60.1399,326.415
T4R,4.06276,-61.3717,339.103
T5L,-50.2986,-59.1193,300.418
T5R,7.77243,-66.0932,314.43
T6L,-44.6594,-55.6249,275.345
T6R,12.8247,-67.8883,289.146
T7L,-40.7687,-51.9756,254.754
T7R,20.6646,-67.8599,262.566
T8L,-39.5835,-46.6596,235.799
T8R,26.7582,-67.8104,235.891
T9L,-36.973,-44.1373,216.529
T9R,28.4897,-63.2407,209.473
T10L,-33.9721,-49.4613,192.402
T10R,20.864,-60.5829,183.068
T11L,-39.1235,-47.2429,164.174
T11R,18.4209,-53.5125,155.195
T12L,-33.0785,-49.9582,131.15
T12R,10.3752,-52.7762,125.17
L1L,-52.2369,-49.7689,101.556
L1R,28.8462,-48.0057,99.0716
L2L,-53.1853,-54.0902,68.092
L2R,25.252,-46.6439,62.9836
L3L,-55.2098,-50.7494,25.294
L3R,31.5845,-44.0787,20.8396
TrXFiducials015,,,
