Landmark,RL,AP,SI
TrXFiducials019,,,
T3L,-30.8018,-65.0995,337.717
T3R,23.1492,-57.492,344.566
T4L,-27.5902,-66.1872,313.474
T4R,23.9978,-60.6234,327.189
T5L,-23.1461,-62.9478,290.14
T5R,30.1772,-63.5795,308.139
T6L,-15.4928,-57.9814,270.691
T6R,37.8062,-64.8383,286.655
T7L,-9.61259,-51.931,250.373
T7R,42.9029,-63.9183,263.472
T8L,-6.31693,-46.4825,233.547
T8R,47.6922,-60.481,236.888
T9L,-3.32839,-41.7893,217.413
T9R,49.3706,-51.6303,211.36
T10L,-3.75943,-39.1355,199.533
T10R,45.2596,-44.9959,185.663
T11L,-5.94312,-31.5596,175.355
T11R,39.7724,-33.5727,164.112
T12L,-7.91055,-25.9818,145.008
T12R,33.0588,-24.8092,137.039
L1L,-18.3278,-15.7851,120.333
L1R,37.8431,-12.101,111.919
L2L,-28.4042,-14.4064,89.8226
L2R,40.3096,-6.77247,85.9188
TrXFiducials020,,,
T3L,-55.6633,-74.1096,359.482
T3R,0.149448,-63.2649,360.367
T4L,-52.6982,-75.4194,329.406
T4R,-2.19028,-65.5006,343.488
T5L,-51.0725,-71.2431,308.426
T5R,2.48714,-67.8057,322.111
T6L,-44.5812,-65.0335,283.699
T6R,9.34365,-70.0355,299.157
T7L,-38.6579,-58.0574,264.396
T7R,11.7653,-70.8559,270.262
T8L,-38.3862,-52.0783,248.872
T8R,11.4884,-67.1911,242.793
T9L,-40.8958,-48.5636,231.952
T9R,7.4895,-61.1273,212.593
T10L,-45.5209,-46.8462,215.99
T10R,-0.547553,-54.0227,190.356
T11L,-53.2361,-45.1183,187.467
T11R,-8.65482,-42.2431,167.959
T12L,-61.1647,-40.8379,148.89
T12R,-22.0458,-37.9245,143.103
L1L,-77.4442,-33.0258,118.766
L1R,-11.7148,-24.3316,117.293
L2L,-79.9137,-23.406,85.613
L2R,-10.9131,-20.5324,87.1222
L3L,-83.8299,-15.687,49.8956
L3R,1.03504,-13.9924,56.3906
TrXFiducials015,,,
T8L,-33.7796,-55.3458,222.34
T8R,15.5695,-55.6898,217.402
T9L,-33.4324,-54.4395,201.424
T9R,12.7607,-51.3719,190.888
T10L,-36.3603,-51.2293,182.644
T10R,5.82104,-42.8976,167.598
T11L,-38.7085,-48.087,157.409
T11R,-0.279187,-33.4821,144.36
T12L,-39.8771,-45.2483,130.202
T12R,-5.47462,-30.1276,123.24
L1L,-54.1876,-44.4859,98.1699
L1R,-4.50608,-16.5779,97.8383
L2L,-55.0554,-37.9412,66.9852
L2R,1.50914,-13.0615,77.0118
TrXFiducials016,,,
T2L,-12.0829,-27.2616,340.115
T2R,48.8128,-27.8268,351.825
T3L,-3.58396,-27.4638,313.256
T3R,49.6896,-27.2113,330.981
T4L,0.943322,-24.6852,293.18
T4R,54.8758,-26.7705,310.745
T5L,8.65215,-19.6433,272.497
T5R,63.3755,-26.7273,290.936
T6L,12.381,-16.0757,255.101
T6R,72.2131,-26.2671,270.166
T7L,16.9607,-9.64559,236.716
T7R,77.5399,-26.495,246.112
T8L,19.7518,-4.66898,217.545
T8R,78.5698,-23.3303,220.667
T9L,23.0862,-4.79015,196.599
T9R,74.6375,-19.8091,190.256
T10L,24.1569,2.85635,180.517
T10R,71.6798,-13.082,167.907
T11L,23.7808,6.49987,155.279
T11R,64.2424,-2.28969,144.332
T12L,17.3442,8.70155,125.023
T12R,54.4239,4.80653,117.114
L1L,1.84008,21.602,101.98
L1R,64.6728,14.5994,90.6165
L2L,-15.5049,20.8308,78.5598
L2R,64.4124,17.9729,64.8111
L3L,-25.0505,23.2868,49.9917
L3R,63.8419,22.4932,38.6159
L4L,-16.6082,22.2862,15.8428
L4R,51.5888,24.0479,10.3996
TrXFiducials019~,,,
T3L~,-30.8024384731,-65.9273437615,338.363314895
T3R~,23.2798710574,-57.7159947884,344.183379161
T4L~,-27.5011387169,-67.5388199289,315.075759264
T4R~,22.7638275902,-60.3704362634,326.593743705
T5L~,-39.6731111219,-43.5924192437,289.731290503
T5R~,30.9948115588,-64.1493372928,309.301959525
T6L~,-15.0640006545,-57.7104028743,269.891554347
T6R~,35.840364409,-65.6793881118,287.528998768
T7L~,-8.3567163454,-52.3277836749,248.378064448
T7R~,42.4837799644,-64.4785816261,262.664056156
T8L~,-6.62542659383,-47.19659792,231.791942781
T8R~,48.3414269305,-60.7901795229,238.022279692
T9L~,-17.3917723795,-18.395993755,221.114783421
T9R~,70.4722833811,-44.6246261169,220.19069785
T10L~,-2.29252934021,-39.6044413076,199.712423865
T10R~,68.0218062432,-28.5500316637,187.181253956
T11L~,-5.75583777765,-31.0833407776,176.070324146
T11R~,62.6312580317,-14.2134919651,158.469541631
T12L~,-30.9202789858,-8.28932805833,155.146294762
T12R~,31.4393961308,-26.6477896248,137.963108686
L1L~,-17.7780345487,-16.7255636724,119.040745759
L1R~,38.4558169231,-12.2613135178,111.78134474
L2L~,-28.0806611334,-14.3331356153,90.7212255717
L2R~,38.7668780773,-6.24614750788,85.450529566
TrXFiducials020~,,,
T3L~,-56.0733282006,-72.3004836738,358.89113538
T3R~,14.2731055298,-40.8935422427,359.93893149
T4L~,-52.907223301,-75.1003761924,329.429767702
T4R~,-1.27360181422,-63.472217866,343.496361078
T5L~,-50.2799817958,-70.4674783185,307.631820877
T5R~,2.79589866116,-67.5547704084,322.221769126
T6L~,-43.7813255453,-65.9853810343,283.297480799
T6R~,9.49561069683,-71.0678620168,299.940796485
T7L~,-53.9614860864,-35.8408460141,271.281833188
T7R~,14.2422168522,-71.7706860713,268.738111263
T8L~,-51.6736054053,-27.4204112278,248.937309811
T8R~,9.77312256995,-69.072593833,242.704537604
T9L~,-53.0802757025,-24.8129948047,239.585304799
T9R~,7.78231112758,-61.1275632863,213.000933483
T10L~,-58.7732382313,-24.126257228,226.487962492
T10R~,-1.0197855749,-54.2389620468,190.280027805
T11L~,-53.6532834157,-46.2521177779,187.69554869
T11R~,-8.01987958416,-44.6528558927,167.861227787
T12L~,-62.0274412132,-41.7183235148,147.532147397
T12R~,-20.8776955753,-37.1321732872,142.93083246
L1L~,-95.1726493793,-15.2992318942,125.764857663
L1R~,-11.704111765,-25.6187726723,117.82854678
L2L~,-79.9708083064,-23.245832643,86.0897760028
L2R~,-12.0990005546,-20.5138847278,87.2794308094
L3L~,-84.1430884385,-16.1501243769,49.7690122266
L3R~,1.05546477403,-13.3207314804,56.7727021063
TrXFiducials015~,,,
T8L~,-34.2603690706,-55.732864477,221.634955296
T8R~,14.9943843662,-55.2738390133,216.176329309
T9L~,-33.592580887,-54.2376304355,200.607297831
T9R~,12.7566703892,-52.8829075017,190.342352386
T10L~,-36.7080490723,-50.9042894053,181.546076547
T10R~,7.04201281778,-44.9737527752,166.993450277
T11L~,-37.538015112,-47.6423277104,158.013054259
T11R~,-1.74026696958,-33.3436851758,142.820753332
T12L~,-62.3616974556,-38.5919029993,134.366924785
T12R~,11.4599805438,-2.18762685424,123.850665365
L1L~,-54.7732359759,-44.6606231974,97.6674917226
L1R~,-5.17752664798,-16.5235237211,96.4366091376
L2L~,-54.8044979806,-39.1043208539,67.7232280712
L2R~,7.90985956319,12.4467092868,80.3329853661
TrXFiducials016~,,,
T2L~,-12.2595383042,-26.7154678893,339.319259449
T2R~,47.4851041431,-28.812265471,352.433451455
T3L~,-3.79120390768,-28.3909481667,313.590405189
T3R~,49.5543097946,-26.4824704896,332.852585464
T4L~,2.93045220457,-23.8473767776,293.51399198
T4R~,70.6294637986,-4.64431613757,316.609454048
T5L~,-6.17419832255,2.53807410464,272.103262135
T5R~,61.242990322,-25.7211879432,292.285437015
T6L~,11.37740801,-15.8867510845,253.591815428
T6R~,71.3866289287,-25.6762937048,268.870611808
T7L~,16.2844909803,-10.1370022819,236.908354416
T7R~,77.1545350192,-27.17103728,247.724346235
T8L~,18.5673713945,-5.14819346834,218.188764399
T8R~,76.958145492,-23.5065849536,220.476474565
T9L~,24.2909083617,-5.83787451317,196.508732357
T9R~,99.1909188735,-5.41385696795,191.309524566
T10L~,15.2375753267,27.1591548419,191.146907272
T10R~,70.1416686726,-11.310079994,167.09525348
T11L~,6.09359200016,25.9611693447,153.300659666
T11R~,92.3624251087,10.7863398819,143.856540746
T12L~,18.0921625299,8.35909667764,124.694376619
T12R~,55.4123029232,5.89046665026,115.697404701
L1L~,1.01413743975,22.7585343757,100.592656945
L1R~,85.6501290467,31.9108444752,93.7318969084
L2L~,-15.4294523821,23.0289956366,79.7008959478
L2R~,63.7165174244,17.4405538796,65.2593969933
L3L~,-25.6109627473,24.6813249049,49.9207051935
L3R~,64.2524302057,21.6988199311,40.2889362652
L4L~,-17.6613613919,22.2529945501,15.2806127086
L4R~,51.9961067657,23.7129973344,10.7488219928
TrXFiducials019+,,,
T1L+,-34.862,-60.8804,379.337
T1R+,19.089,-53.2729,386.186
T2L+,-32.8319,-62.98995,358.527
T2R+,21.1191,-55.38245,365.376
T3L+,-30.8024384731,-65.9273437615,338.363314895
T3R+,23.2798710574,-57.7159947884,344.183379161
